latitude,longitude,mean_ghi_day
24.809958335308956,66.97194467470703,413.6
24.809958335308956,67.07194467470703,412.9
24.809958335308956,67.17194467470702,414.2
24.809958335308956,67.27194467470702,418.6
24.809958335308956,67.37194467470701,420.8
24.809958335308956,67.471944674707,419.3
24.909958335308957,66.77194467470704,435.3
24.909958335308957,66.87194467470704,428.9
24.909958335308957,66.97194467470703,416.2
24.909958335308957,67.07194467470703,411.5
24.909958335308957,67.17194467470702,414.9
24.909958335308957,67.27194467470702,419.1
24.909958335308957,67.37194467470701,422.8
24.909958335308957,67.471944674707,424.1
25.00995833530896,67.07194467470703,415.6
25.00995833530896,67.17194467470702,417.9
25.00995833530896,67.27194467470702,421.7
25.00995833530896,67.37194467470701,423.8
25.10995833530896,67.07194467470703,421.4
25.10995833530896,67.17194467470702,424.4
25.10995833530896,67.27194467470702,425.8
25.20995833530896,67.17194467470702,423.1
25.20995833530896,67.27194467470702,427.6
25.309958335308963,67.27194467470702,435.1
25.309958335308963,67.37194467470701,438.1
25.409958335308964,67.27194467470702,435.2
25.409958335308964,67.37194467470701,438.7
25.509958335308966,67.37194467470701,438.9
25.609958335308967,67.37194467470701,440.5
