doy,mean,p10,p50,p90,mean_pv,p10_pv,p50_pv,p90_pv
301,5.064,4.756,5.121,5.357,0.729,0.685,0.737,0.771
302,5.041,4.7,5.105,5.335,0.726,0.677,0.735,0.768
303,5.027,4.7,5.081,5.326,0.724,0.677,0.732,0.767
304,4.983,4.599,5.034,5.241,0.718,0.662,0.725,0.755
305,4.94,4.546,4.979,5.199,0.711,0.655,0.717,0.749
306,4.905,4.522,4.952,5.189,0.706,0.651,0.713,0.747
307,4.867,4.491,4.926,5.169,0.701,0.647,0.709,0.744
308,4.851,4.521,4.9,5.164,0.699,0.651,0.706,0.744
309,4.832,4.521,4.886,5.144,0.696,0.651,0.704,0.741
310,4.792,4.442,4.856,5.111,0.69,0.64,0.699,0.736
311,4.765,4.425,4.797,5.083,0.686,0.637,0.691,0.732
312,4.742,4.425,4.759,4.981,0.683,0.637,0.685,0.717
313,4.725,4.441,4.746,4.978,0.68,0.64,0.683,0.717
314,4.686,4.382,4.706,4.963,0.675,0.631,0.678,0.715
315,4.655,4.366,4.695,4.921,0.67,0.629,0.676,0.709
316,4.628,4.356,4.673,4.896,0.666,0.627,0.673,0.705
317,4.602,4.343,4.605,4.878,0.663,0.625,0.663,0.702
318,4.577,4.335,4.594,4.802,0.659,0.624,0.662,0.691
319,4.562,4.335,4.577,4.764,0.657,0.624,0.659,0.686
320,4.544,4.326,4.561,4.759,0.654,0.623,0.657,0.685
321,4.518,4.274,4.535,4.751,0.651,0.615,0.653,0.684
322,4.486,4.154,4.518,4.746,0.646,0.598,0.651,0.683
323,4.461,4.154,4.488,4.722,0.642,0.598,0.646,0.68
324,4.435,4.122,4.451,4.708,0.639,0.594,0.641,0.678
325,4.423,4.122,4.436,4.706,0.637,0.594,0.639,0.678
326,4.397,4.091,4.42,4.687,0.633,0.589,0.636,0.675
327,4.37,4.079,4.384,4.607,0.629,0.587,0.631,0.663
328,4.346,4.079,4.346,4.586,0.626,0.587,0.626,0.66
329,4.337,4.092,4.336,4.541,0.625,0.589,0.624,0.654
330,4.319,4.092,4.324,4.523,0.622,0.589,0.623,0.651
331,4.302,4.092,4.304,4.501,0.619,0.589,0.62,0.648
332,4.283,4.092,4.291,4.487,0.617,0.589,0.618,0.646
333,4.255,4.079,4.275,4.44,0.613,0.587,0.616,0.639
334,4.24,4.079,4.247,4.418,0.611,0.587,0.612,0.636
335,4.231,4.079,4.245,4.393,0.609,0.587,0.611,0.633
336,4.223,4.092,4.245,4.384,0.608,0.589,0.611,0.631
337,4.228,4.126,4.245,4.379,0.609,0.594,0.611,0.631
338,4.218,4.112,4.234,4.377,0.607,0.592,0.61,0.63
339,4.205,4.083,4.23,4.369,0.606,0.588,0.609,0.629
340,4.195,4.081,4.223,4.358,0.604,0.588,0.608,0.628
341,4.19,4.081,4.214,4.336,0.603,0.588,0.607,0.624
342,4.185,4.083,4.193,4.304,0.603,0.588,0.604,0.62
343,4.175,4.078,4.192,4.293,0.601,0.587,0.604,0.618
344,4.166,4.072,4.176,4.292,0.6,0.586,0.601,0.618
345,4.158,4.009,4.175,4.289,0.599,0.577,0.601,0.618
346,4.139,3.971,4.166,4.289,0.596,0.572,0.6,0.618
347,4.123,3.955,4.162,4.283,0.594,0.57,0.599,0.617
348,4.116,3.938,4.153,4.283,0.593,0.567,0.598,0.617
349,4.103,3.877,4.139,4.289,0.591,0.558,0.596,0.618
350,4.085,3.796,4.133,4.28,0.588,0.547,0.595,0.616
351,4.057,3.796,4.133,4.263,0.584,0.547,0.595,0.614
352,4.032,3.756,4.128,4.228,0.581,0.541,0.594,0.609
353,4.011,3.613,4.127,4.223,0.578,0.52,0.594,0.608
354,3.971,3.511,4.121,4.223,0.572,0.506,0.593,0.608
355,3.962,3.511,4.118,4.223,0.571,0.506,0.593,0.608
356,3.959,3.511,4.116,4.223,0.57,0.506,0.593,0.608
357,3.953,3.511,4.116,4.223,0.569,0.506,0.593,0.608
358,3.946,3.511,4.114,4.219,0.568,0.506,0.592,0.608
359,3.945,3.511,4.114,4.214,0.568,0.506,0.592,0.607
360,3.936,3.511,4.113,4.208,0.567,0.506,0.592,0.606
361,3.942,3.531,4.114,4.205,0.568,0.508,0.592,0.606
362,3.936,3.519,4.115,4.217,0.567,0.507,0.593,0.607
363,3.941,3.497,4.116,4.219,0.568,0.504,0.593,0.608
364,3.94,3.443,4.116,4.241,0.567,0.496,0.593,0.611
365,3.958,3.592,4.118,4.258,0.57,0.517,0.593,0.613
