iter	RMSE
303	24.1292911
304	24.11311477
305	24.09924437
306	24.08642663
307	24.0682285
308	24.05618892
309	24.03791562
310	24.01833675
311	23.99566788
312	23.9739932
313	23.94643426
314	23.93351384
315	23.91647635
316	23.90051607
317	23.86768539
318	23.86082921
319	23.84379267
320	23.82201652
321	23.79790557
322	23.77550098
323	23.76020501
324	23.74398913
325	23.72812525
326	23.71137237
327	23.69033501
328	23.67685271
329	23.66768162
330	23.6555495
331	23.63749427
332	23.62599344
333	23.61353677
334	23.5928802
335	23.57277253
336	23.55552509
337	23.53692075
338	23.51857071
339	23.50814921
340	23.49688001
341	23.48776741
342	23.47015269
343	23.45617831
344	23.4448474
345	23.42467342
346	23.40879827
347	23.39250183
348	23.37669752
349	23.35717112
350	23.34063788
351	23.32934887
352	23.31907539
353	23.30697963
354	23.28805526
355	23.26533846
356	23.25834906
357	23.24743142
358	23.23545867
359	23.22388032
360	23.21371331
361	23.19637317
362	23.18535332
363	23.17352752
364	23.16527765
365	23.14837225
366	23.12955973
367	23.11592717
368	23.10376747
369	23.0827154
370	23.06673656
371	23.05755739
372	23.04665126
373	23.03694677
374	23.02561737
375	23.01166889
376	22.98612808
377	22.96473878
378	22.95329925
379	22.93370901
380	22.92337002
381	22.90311205
382	22.89312225
383	22.87874673
384	22.85984168
385	22.841007
386	22.82104347
387	22.79889272
388	22.78527824
389	22.76574035
390	22.74949315
391	22.73266267
392	22.72048007
393	22.70393277
394	22.68616252
395	22.66735906
396	22.65963525
397	22.64145602
398	22.62633132
399	22.61403061
